,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_RmRedundant__redundant,param_clipper__factor,param_lightgbm__bagging_fraction,param_lightgbm__learning_rate,param_lightgbm__min_data_in_leaf,param_lightgbm__n_estimators,param_lightgbm__num_leaves,param_poly__polynom__degree,param_poly__quad__degree,params,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE,split0_test_MAPE,split1_test_MAPE,split2_test_MAPE,mean_test_MAPE,std_test_MAPE,rank_test_MAPE,split0_test_MAE,split1_test_MAE,split2_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE
84,0.08255139986673991,0.01340526393522417,0.014193296432495117,0.0004820771001672107,0.7,1.5,0.7,0.1,10,200,10,1,1,"{'RmRedundant__redundant': 0.7, 'clipper__factor': 1.5, 'lightgbm__bagging_fraction': 0.7, 'lightgbm__learning_rate': 0.1, 'lightgbm__min_data_in_leaf': 10, 'lightgbm__n_estimators': 200, 'lightgbm__num_leaves': 10, 'poly__polynom__degree': 1, 'poly__quad__degree': 1}",-20.878702101899478,-19.658000273865646,-30.314466567633918,-23.61705631446635,4.761932822756384,53,-1265594178533330.2,-1061773974916384.8,-982940190430535.6,-1103436114626750.1,119094135488243.64,95,-13.566490106872335,-10.445474962724875,-15.615654463597531,-13.209206511064913,2.125782631359686,77
85,0.13297494252522787,0.024476912813539337,0.015841086705525715,0.001611218414444755,0.7,1.5,0.7,0.1,10,200,10,1,2,"{'RmRedundant__redundant': 0.7, 'clipper__factor': 1.5, 'lightgbm__bagging_fraction': 0.7, 'lightgbm__learning_rate': 0.1, 'lightgbm__min_data_in_leaf': 10, 'lightgbm__n_estimators': 200, 'lightgbm__num_leaves': 10, 'poly__polynom__degree': 1, 'poly__quad__degree': 2}",-22.323810622848207,-19.588183241362724,-29.393254855340764,-23.768416239850563,4.131183961071011,61,-894042531379051.0,-1031281015309997.2,-1000397324823971.4,-975240290504339.9,58783544464617.45,87,-14.122529997642946,-10.405831801383886,-15.333506357045167,-13.287289385357333,2.0966185938213835,81
86,0.09230295817057292,0.013997030021380152,0.014212687810262045,0.00038170848434478707,0.7,1.5,0.7,0.1,10,200,10,3,1,"{'RmRedundant__redundant': 0.7, 'clipper__factor': 1.5, 'lightgbm__bagging_fraction': 0.7, 'lightgbm__learning_rate': 0.1, 'lightgbm__min_data_in_leaf': 10, 'lightgbm__n_estimators': 200, 'lightgbm__num_leaves': 10, 'poly__polynom__degree': 3, 'poly__quad__degree': 1}",-20.878702101899478,-19.658000273865646,-30.314466567633918,-23.61705631446635,4.761932822756384,53,-1265594178533330.2,-1061773974916384.8,-982940190430535.6,-1103436114626750.1,119094135488243.64,95,-13.566490106872335,-10.445474962724875,-15.615654463597531,-13.209206511064913,2.125782631359686,77
87,0.1351151466369629,0.02092836226472226,0.01466226577758789,0.0005645750946289695,0.7,1.5,0.7,0.1,10,200,10,3,2,"{'RmRedundant__redundant': 0.7, 'clipper__factor': 1.5, 'lightgbm__bagging_fraction': 0.7, 'lightgbm__learning_rate': 0.1, 'lightgbm__min_data_in_leaf': 10, 'lightgbm__n_estimators': 200, 'lightgbm__num_leaves': 10, 'poly__polynom__degree': 3, 'poly__quad__degree': 2}",-22.323810622848207,-19.588183241362724,-29.393254855340764,-23.768416239850563,4.131183961071011,61,-894042531379051.0,-1031281015309997.2,-1000397324823971.4,-975240290504339.9,58783544464617.45,87,-14.122529997642946,-10.405831801383886,-15.333506357045167,-13.287289385357333,2.0966185938213835,81
88,0.0955352783203125,0.014752736200684857,0.015885114669799805,0.0005661545565520879,0.7,1.5,0.7,0.1,10,200,15,1,1,"{'RmRedundant__redundant': 0.7, 'clipper__factor': 1.5, 'lightgbm__bagging_fraction': 0.7, 'lightgbm__learning_rate': 0.1, 'lightgbm__min_data_in_leaf': 10, 'lightgbm__n_estimators': 200, 'lightgbm__num_leaves': 15, 'poly__polynom__degree': 1, 'poly__quad__degree': 1}",-21.303900775951707,-19.642989197069976,-30.772865171878323,-23.906585048300002,4.9023129826508685,75,-802807492190336.2,-994257197677183.4,-904387752546306.8,-900484147471275.4,78207740589562.62,63,-13.334134653348274,-10.30680492503425,-15.661733187745066,-13.10089092204253,2.1923527929813726,61
89,0.1414793332417806,0.020748699750484666,0.015822966893513996,0.0005028912449731795,0.7,1.5,0.7,0.1,10,200,15,1,2,"{'RmRedundant__redundant': 0.7, 'clipper__factor': 1.5, 'lightgbm__bagging_fraction': 0.7, 'lightgbm__learning_rate': 0.1, 'lightgbm__min_data_in_leaf': 10, 'lightgbm__n_estimators': 200, 'lightgbm__num_leaves': 15, 'poly__polynom__degree': 1, 'poly__quad__degree': 2}",-22.712070151029486,-18.82838085578241,-29.444790986933192,-23.661747331248364,4.385845116445374,55,-983164953426246.4,-989519486399096.9,-867317561096679.5,-946667333640674.4,56168703174238.336,75,-14.213910903358096,-10.131785304759413,-15.1877855096655,-13.177827239261005,2.1902642971810873,69
90,0.10309433937072754,0.015554358456915895,0.015695651372273762,0.0004268252095127804,0.7,1.5,0.7,0.1,10,200,15,3,1,"{'RmRedundant__redundant': 0.7, 'clipper__factor': 1.5, 'lightgbm__bagging_fraction': 0.7, 'lightgbm__learning_rate': 0.1, 'lightgbm__min_data_in_leaf': 10, 'lightgbm__n_estimators': 200, 'lightgbm__num_leaves': 15, 'poly__polynom__degree': 3, 'poly__quad__degree': 1}",-21.303900775951707,-19.642989197069976,-30.772865171878323,-23.906585048300002,4.9023129826508685,75,-802807492190336.2,-994257197677183.4,-904387752546306.8,-900484147471275.4,78207740589562.62,63,-13.334134653348274,-10.30680492503425,-15.661733187745066,-13.10089092204253,2.1923527929813726,61
91,0.15291126569112143,0.023896114409263834,0.015627304712931316,0.0008731510397263151,0.7,1.5,0.7,0.1,10,200,15,3,2,"{'RmRedundant__redundant': 0.7, 'clipper__factor': 1.5, 'lightgbm__bagging_fraction': 0.7, 'lightgbm__learning_rate': 0.1, 'lightgbm__min_data_in_leaf': 10, 'lightgbm__n_estimators': 200, 'lightgbm__num_leaves': 15, 'poly__polynom__degree': 3, 'poly__quad__degree': 2}",-22.712070151029486,-18.82838085578241,-29.444790986933192,-23.661747331248364,4.385845116445374,55,-983164953426246.4,-989519486399096.9,-867317561096679.5,-946667333640674.4,56168703174238.336,75,-14.213910903358096,-10.131785304759413,-15.1877855096655,-13.177827239261005,2.1902642971810873,69
92,0.29373860359191895,0.015573144160560942,0.029488086700439453,0.002255553705725678,0.7,1.5,0.7,0.1,10,200,100,1,1,"{'RmRedundant__redundant': 0.7, 'clipper__factor': 1.5, 'lightgbm__bagging_fraction': 0.7, 'lightgbm__learning_rate': 0.1, 'lightgbm__min_data_in_leaf': 10, 'lightgbm__n_estimators': 200, 'lightgbm__num_leaves': 100, 'poly__polynom__degree': 1, 'poly__quad__degree': 1}",-21.88523683170575,-21.725845095343935,-30.397848453978504,-24.66964346034273,4.050975254449269,89,-789207759053568.9,-1046635818754116.0,-753210119511808.1,-863017899106497.6,130666529315235.77,53,-13.384925217874164,-10.7288658420142,-15.513776528448291,-13.209189196112218,1.9573800399677677,75
93,0.33598526318868,0.03681565214755423,0.03052528699239095,0.0010266503772937078,0.7,1.5,0.7,0.1,10,200,100,1,2,"{'RmRedundant__redundant': 0.7, 'clipper__factor': 1.5, 'lightgbm__bagging_fraction': 0.7, 'lightgbm__learning_rate': 0.1, 'lightgbm__min_data_in_leaf': 10, 'lightgbm__n_estimators': 200, 'lightgbm__num_leaves': 100, 'poly__polynom__degree': 1, 'poly__quad__degree': 2}",-22.572203236166473,-21.874386383315276,-30.44587440468599,-24.96415467472258,3.8866159649437444,95,-504785331761541.8,-1034156466088593.2,-865990419127462.2,-801644072325865.6,220852573337525.72,47,-13.803573865908444,-10.808609295620409,-15.573193272596422,-13.395125478041757,1.966458353246145,91
94,0.2957152525583903,0.018237121913566082,0.029434919357299805,0.0021672734677220143,0.7,1.5,0.7,0.1,10,200,100,3,1,"{'RmRedundant__redundant': 0.7, 'clipper__factor': 1.5, 'lightgbm__bagging_fraction': 0.7, 'lightgbm__learning_rate': 0.1, 'lightgbm__min_data_in_leaf': 10, 'lightgbm__n_estimators': 200, 'lightgbm__num_leaves': 100, 'poly__polynom__degree': 3, 'poly__quad__degree': 1}",-21.88523683170575,-21.725845095343935,-30.397848453978504,-24.66964346034273,4.050975254449269,89,-789207759053568.9,-1046635818754116.0,-753210119511808.1,-863017899106497.6,130666529315235.77,53,-13.384925217874164,-10.7288658420142,-15.513776528448291,-13.209189196112218,1.9573800399677677,75
95,0.3638235727945964,0.04120606481009803,0.030281941095987957,0.0005003825828962957,0.7,1.5,0.7,0.1,10,200,100,3,2,"{'RmRedundant__redundant': 0.7, 'clipper__factor': 1.5, 'lightgbm__bagging_fraction': 0.7, 'lightgbm__learning_rate': 0.1, 'lightgbm__min_data_in_leaf': 10, 'lightgbm__n_estimators': 200, 'lightgbm__num_leaves': 100, 'poly__polynom__degree': 3, 'poly__quad__degree': 2}",-22.572203236166473,-21.874386383315276,-30.44587440468599,-24.96415467472258,3.8866159649437444,95,-504785331761541.8,-1034156466088593.2,-865990419127462.2,-801644072325865.6,220852573337525.72,47,-13.803573865908444,-10.808609295620409,-15.573193272596422,-13.395125478041757,1.966458353246145,91
